x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vijay Prakash,11200,"66,577",42.2%,Rashtriya Janata Dal,
2,2,Ajoy Pratap,11200,"58,328",37.0%,Bharatiya Janta Party,
3,3,Rabindra Kumar Mandal,200,"8,267",5.2%,Independent,
4,4,Anil Kumar Singh,200,"4,094",2.6%,Independent,
5,5,Sanjit Panbay,200,"3,925",2.5%,Independent,
6,6,Dharamvir Bhadoria,200,"2,941",1.9%,Independent,
7,7,Mahavir Yadav,200,"2,369",1.5%,Independent,
8,8,Rupesh Kumar Singh,200,"1,975",1.3%,Communist Party Of India,
9,9,Pramod Kumar Mandal,200,"1,662",1.1%,Bahujan Samaj Party,
10,10,Md. Abdul Baki,200,"1,545",1.0%,Samajwadi Party,
11,11,Vikas Chand Singh,200,955,0.6%,Independent,
12,12,Baldeo Pd. Bhagat,200,724,0.5%,Vyabasayi Kisan Alpasankhyak Morcha,
13,13,Bhola Saw,200,667,0.4%,Janta Dal Rashtravadi,
14,14,Davendra Yadav,200,556,0.4%,Independent,
15,15,Kamleshwari Yadav,200,545,0.4%,Independent,
16,16,Ajay Mandal,200,516,0.3%,Independent,
