x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. Abdul Ghafoor,748,"56,436",38.8%,Rashtriya Janata Dal,
2,2,Chandan Kumar Sah,748,"30,301",20.8%,Rashtriya Lok Samta Party,
3,3,Gautam Krishna,345,"19,958",13.7%,Jan Adhikar Party (Loktantrik),
4,4,Punam Deo,197,"11,361",7.8%,Independent,
5,5,Surendra Yadav,141,"6,281",4.3%,Independent,
6,6,Bimal Kant Jha,105,"2,409",1.7%,Independent,
7,7,Rajkishor Sada,105,"1,835",1.3%,Independent,
8,8,Nanhe Khan,105,"1,777",1.2%,Bahujan Samaj Party,
9,9,Subodh Panday,105,"1,702",1.2%,Independent,
10,10,Maharudra Jha,95,"1,096",0.8%,Independent,
11,11,Nausad Alam,95,"1,074",0.7%,Independent,
12,12,Lalan Yadav,95,"1,034",0.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
13,13,Dhirendra Pathak,95,909,0.6%,Independent,
14,14,Vijay Kumar Gupta,95,705,0.5%,National Janta Party (Indian),
