x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Nand Kumar Rai,26600,"68,011",43.6%,Rashtriya Janata Dal,
2,2,Arun Kumar Singh,26600,"63,102",40.5%,Bharatiya Janta Party,
3,3,Najmul Hoda,200,"5,658",3.6%,Bahujan Samaj Party,
4,4,Vidhalal Sahni,200,"2,967",1.9%,Independent,
5,5,Raghuwar Bhagat,200,"2,319",1.5%,Communist Party Of India,
6,6,Hiralal Khadia,200,"2,161",1.4%,Sarvajan Kalyan Loktantrik Party,
7,7,Sanjay Kumar Paswan,200,"2,099",1.4%,Independent,
8,8,Ajay Kumar,200,827,0.5%,Samajwadi Party,
9,9,Ram Ekwal Ray,200,799,0.5%,Garib Janta Dal (Secular),
10,10,Md. Rustam Ali,200,706,0.5%,Akhil Bharatiya Hind Kranti Party,
11,11,Abhay Kumar,200,582,0.4%,Bajjikanchal Vikas Party,
12,12,Krishna Ray,200,485,0.3%,Rashtriya Samanta Dal,
