x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Surendra Kumar,6184,"66,958",43.4%,Rashtriya Janata Dal,
2,2,Ram Surat Ray,6184,"56,133",36.4%,Bharatiya Janta Party,
3,3,Lalbabu Sahni,137,"8,747",5.7%,Sarvajan Kalyan Loktantrik Party,
4,4,Mohamd Saifee,112,"4,561",3.0%,Independent,
5,5,Saket Kumar  Singh,96,"2,837",1.8%,Independent,
6,6,Ganesh Prasad Chauhan,96,"2,096",1.4%,Bahujan Samaj Party,
7,7,Ashok Kumar Jha,96,"1,953",1.3%,Garib Janshakti Party,
8,8,Gopal Prasad Shahi,96,"1,723",1.1%,Independent,
9,9,Nageshwar Prasad Singh,87,"1,513",1.0%,Independent,
10,10,Muzaffar Hasnain,87,"1,164",0.8%,Aap Aur Hum Party,
11,11,Bhola Sah,87,"1,129",0.7%,Samajwadi Party,
12,12,Sanjay Choudhary,87,909,0.6%,Jan Adhikar Party (Loktantrik),
13,13,Surendra Kumar,87,820,0.5%,Bajjikanchal Vikas Party,
14,14,Ravindra Kumar,87,701,0.5%,All India Forward Bloc,
15,15,Murari Prasad Yadav,87,643,0.4%,Bharatiya Yuva Party (Democratic),
