x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shashi Bhusan Hazari,1000,"50,062",43.1%,Janata Dal (United),
2,2,Dhananjay Kumar Alias Mrinal Paswan,1000,"30,212",26.0%,Lok Jan Shakti Party,
3,3,Rajendra Prasad,200,"5,706",4.9%,Communist Party Of India,
4,4,Vinay Kumar,200,"4,678",4.0%,Independent,
5,5,Ganesh  Kumar Alias Ganesh Kumar Paswan,200,"3,733",3.2%,Independent,
6,6,Kameshwar Ram,200,"3,570",3.1%,Bahujan Samaj Party,
7,7,Shyam Sundar Sardar,200,"2,850",2.5%,Jan Adhikar Party (Loktantrik),
8,8,Bhupesh Bhuwan Bharti Alias Pappu Paswan,200,"2,772",2.4%,Independent,
9,9,Rajesh Paswan,200,"2,105",1.8%,Garib Janta Dal (Secular),
10,10,Turanti Sada,200,"1,779",1.5%,Sarvajan Kalyan Loktantrik Party,
11,11,Lal Mohar Sada,200,"1,586",1.4%,Bharat Nirman Party,
