x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Krishan Nandan Prasad Verma,1200,"67,248",47.6%,Janata Dal (United),
2,2,Rahul Kumar,1200,"45,623",32.3%,Hindustani Awam Morcha (Secular),
3,3,Rambali  Yadav,200,"10,894",7.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Arvind Kumar Pandey,200,"5,900",4.2%,Shiv Sena,
5,5,Vimal Kumar,200,"2,358",1.7%,National Janta Party (Indian),
6,6,Rajnish Kumar,200,"1,705",1.2%,Independent,
7,7,Javed Alam,200,"1,516",1.1%,Bahujan Samaj Party,
8,8,Prabhat Kumar Ranjan,200,874,0.6%,Nationalist Congress Party,
