x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Prem Kumar,1000,"66,891",51.8%,Bharatiya Janta Party,
2,2,Priya Ranjan,1000,"44,102",34.2%,Indian National Congress,
3,3,Raj Kumar Prasad Alias Raju Baranwal,200,"7,170",5.6%,Independent,
4,4,Masood Manzar,200,"2,363",1.8%,Communist Party Of India,
5,5,Shashi Kishore Shishu,200,"2,255",1.8%,Independent,
6,6,Sanjay Kumar Srivastava,200,"1,160",0.9%,Independent,
7,7,Mrityunjay Singh,200,773,0.6%,Independent,
8,8,Abul Farha,200,672,0.5%,Bahujan Samaj Party,
9,9,Ajay Yadav,200,578,0.5%,Samajwadi Party,
10,10,Ranjeet Prasad,200,520,0.4%,Bharat Bhrashtachar Mitao Party,
11,11,Shishupal Kumar,200,455,0.4%,Swabhiman Party,
12,12,Ram Parsad Gupta,200,370,0.3%,Rashtriya Pragati Party,
13,13,Malti Devi,200,329,0.3%,Independent,
14,14,Vijay Singh,200,321,0.3%,Pragatisheel Magahi Samaj,
15,15,Naresh Prasad,200,255,0.2%,Independent,
16,16,Asad Perwez,200,206,0.2%,International Party,
