x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr.Sunil Kumar,92800,"76,201",42.7%,Bharatiya Janta Party,
2,2,Mohammad Asghar Shamim,92800,"73,861",41.4%,Janata Dal (United),
3,3,Afrin Sultana,200,"12,635",7.1%,Jan Adhikar Party (Loktantrik),
4,4,Md. Surkhab Alam,200,"2,259",1.3%,Independent,
5,5,Arun Yadav,200,"1,526",0.9%,Communist Party Of India (Marxist-Leninist) (Liberation),
6,6,Arun Deo Kumar,200,"1,453",0.8%,Independent,
7,7,Ranvijay Singh,200,"1,238",0.7%,Bahujan Samaj Party,
8,8,Surendra Prasad,200,"1,143",0.6%,Independent,
9,9,Mahesh Prasad Singh,200,933,0.5%,Independent,
10,10,Manoj Kumar,200,723,0.4%,Independent,
11,11,Arun Kumar,200,454,0.3%,Independent,
12,12,Kaushal Kumar Kaushalendra Sinha Alias Bharat Manas,200,408,0.2%,Independent,
13,13,Avinash Kumar,200,302,0.2%,Independent,
