x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Upendra Paswan,348,"72,632",49.3%,Rashtriya Janata Dal,
2,2,Ramanand Ram,348,"32,376",22.0%,Bharatiya Janta Party,
3,3,Suryakant Paswan,289,"29,185",19.8%,Communist Party Of India,
4,4,Suresh Sada,70,"1,710",1.2%,Bhartiya Janhit Dal,
5,5,Vinod Kumar Das,70,"1,694",1.2%,Bahujan Samaj Party,
6,6,Daso Paswan,70,"1,619",1.1%,Jan Adhikar Party (Loktantrik),
7,7,Vaijanath Paswan,70,"1,562",1.1%,Independent,
8,8,Surendra Paswan,70,"1,451",1.0%,Independent,
9,9,Upendra Kumar Paswan,70,"1,310",0.9%,Bahujan Mukti Party,
