x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jay Vardhan Yadav Alias Bachcha Yadav,1027,"65,932",45.1%,Rashtriya Janata Dal,
2,2,Ram Janm Sharma,1027,"41,479",28.4%,Bharatiya Janta Party,
3,3,Anwar Husain,234,"19,438",13.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Chandan Kumar,105,"5,145",3.5%,Independent,
5,5,Alakh Niranjan Pal,92,"2,424",1.7%,Bahujan Samaj Party,
6,6,Hare Krishn Singh,92,"1,947",1.3%,Independent,
7,7,Pratibha Jha,92,"1,806",1.2%,Independent,
8,8,Lakshman Sharma,81,"1,628",1.1%,Independent,
9,9,Manish Kumar,81,"1,272",0.9%,Shiv Sena,
10,10,Dhananjay Kumar,81,854,0.6%,Lok Awaz Dal,
11,11,Ajay Kumar,81,637,0.4%,Independent,
12,12,Sunil Sanand,81,446,0.3%,Hamara Sahara Party,
13,13,Shambhu Kumar Shah,81,404,0.3%,Rashtriya Pragati Party,
14,14,Mejnarayan Das,81,319,0.2%,Sankhyanupati Bhagidari Party,
