x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mudrika Prasad Roy,1451,"69,012",47.9%,Rashtriya Janata Dal,
2,2,Janak Singh,1451,"48,572",33.7%,Bharatiya Janta Party,
3,3,Braj Bihari Singh,90,"3,980",2.8%,Independent,
4,4,Nazare Imam Khan,90,"3,747",2.6%,Independent,
5,5,Hemant Kumar Singh,84,"3,195",2.2%,Independent,
6,6,Geeta Sagar Ram,84,"2,840",2.0%,Communist Party Of India (MARXIST),
7,7,Sabha Ray,84,"2,069",1.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Satyendra Kumar Singh,84,"1,929",1.3%,Public Mission Party,
9,9,"Abhimanyu Kumar ""manish""",84,"1,824",1.3%,Akhil Bharat Hindu Mahasabha,
10,10,Ranvijay Kr. Singh,76,"1,121",0.8%,Samajwadi Party,
11,11,Radha Kant,76,736,0.5%,Akhil Bharatiya Rajarya Sabha,
12,12,Lalan Sah,76,611,0.4%,Bhartiya New Sanskar Krantikari Party,
13,13,Nand Kishor Singh,76,571,0.4%,Sarvajan Kalyan Loktantrik Party,
