x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raghaw Sharan Pandey,12800,"74,476",44.5%,Bharatiya Janta Party,
2,2,Bhishm Sahani,12800,"66,293",39.6%,Janata Dal (United),
3,3,Md. Kamran Aziz,200,"8,292",5.0%,Bahujan Samaj Party,
4,4,Saket Kumar Pathak,200,"2,507",1.5%,Independent,
5,5,Shesh Nath Chaudhary,200,"2,463",1.5%,Independent,
6,6,Md. Akbar Khan,200,"2,355",1.4%,Jan Adhikar Party (Loktantrik),
7,7,Pashupatinath Gupta,200,"1,874",1.1%,Independent,
8,8,Binod Yadav,200,"1,493",0.9%,Independent,
9,9,Arun Kumar Pathak,200,"1,031",0.6%,Shiv Sena,
10,10,Bhole Nath Yadav,200,879,0.5%,Independent,
11,11,Bhikhari Prasad,200,774,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
12,12,Atul Kumar Shukla,200,743,0.4%,Independent,
13,13,Radheshyam Yadav,200,660,0.4%,Independent,
14,14,Majister Yadav,200,486,0.3%,Samajwadi Party,
15,15,Amar Chaudhary,200,482,0.3%,Jharkhand Mukti Morcha,
