x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajiv Nandan,13115,"56,480",39.3%,Bharatiya Janta Party,
2,2,Ramchandra Prasad Singh,13115,"49,965",34.8%,Janata Dal (United),
3,3,Uday Kumar Verma,159,"8,007",5.6%,Shiv Sena,
4,4,Deonandan Yadav,130,"4,330",3.0%,Bahujan Samaj Party,
5,5,Randhir Kumar Singh,113,"2,955",2.1%,Aam Janata Party,
6,6,Anwar Ali Khan,113,"2,681",1.9%,Nationalist Congress Party,
7,7,Gopal Prasad,113,"2,658",1.9%,Jan Adhikar Party (Loktantrik),
8,8,Ram Prakash Singh 'chuman',113,"2,650",1.9%,Samras Samaj Party,
9,9,Shalesh Kumar,105,"2,434",1.7%,Independent,
10,10,Upendra Yadav,105,"1,872",1.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Ajay Kumar,105,"1,783",1.2%,Pragatisheel Magahi Samaj,
12,12,Chandrashekhar Prasad,105,"1,710",1.2%,Akhil Hind Forward Block,
