x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Anand Shankar Singh,2058,"63,637",41.7%,Indian National Congress,
2,2,Ramadhar Singh,2058,"45,239",29.6%,Bharatiya Janta Party,
3,3,Kaushal Singh,225,"15,260",10.0%,Bahujan Samaj Party,
4,4,Kumar Gaurav,134,"5,978",3.9%,Independent,
5,5,Sanjit Kumar Chourasia,113,"3,623",2.4%,Jan Adhikar Party (Loktantrik),
6,6,Ram Chandar Yadav,113,"3,013",2.0%,Independent,
7,7,Sinesh Rahi,105,"2,714",1.8%,Communist Party Of India,
8,8,Vikram Kumar,105,"1,811",1.2%,Independent,
9,9,Satyendra Singh,105,"1,702",1.1%,Independent,
10,10,Mahesh Bhuiya,93,"1,231",0.8%,Independent,
11,11,Jayshankar Singh,93,"1,119",0.7%,Shiv Sena,
12,12,Dhnush Singh Yadav,93,"1,007",0.7%,Bahujan Mukti Party,
13,13,Yashwant Lal Satyarthi,93,996,0.7%,Independent,
14,14,Guddu Kumar,93,839,0.6%,Independent,
15,15,Ranjan Kumar Singh Alias Munna Singh,93,797,0.5%,Samajwadi Party,
16,16,Bijay Kumar Sharma,93,684,0.5%,Independent,
17,17,Ajay Kumar Shrivastava,93,598,0.4%,Independent,
18,18,Maheshwar Paswan,93,562,0.4%,Akhil Hind Forward Block,
19,19,Surendra Yadaw,93,467,0.3%,Garib Janta Dal (Secular),
20,20,Suryadeo Pandey,93,416,0.3%,Independent,
