x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Arun Kumar,993,"74,306",49.8%,Rashtriya Janata Dal,
2,2,Sanjay Singh (TIGER),993,"48,879",32.8%,Bharatiya Janta Party,
3,3,Raju Yadav,149,"15,879",10.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Baban Kumar,71,"1,350",0.9%,Jan Adhikar Party (Loktantrik),
5,5,Ramdev Singh,71,"1,207",0.8%,Independent,
6,6,Santosh Kumar Singh,71,844,0.6%,Bahujan Samaj Party,
7,7,Ranjit Kumar,71,689,0.5%,Samajwadi Party,
8,8,Ramji Singh,71,622,0.4%,Bahujan Mukti Party,
9,9,Raj Kumar Chaudhari,71,600,0.4%,Hindustan Vikas Dal,
10,10,Mobarak Hussain,71,588,0.4%,Janta Dal Rashtravadi,
11,11,Mithilesh Kumar,71,568,0.4%,Independent,
