x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Binod Kumar Singh,12000,"47,924",26.7%,Bharatiya Janta Party,
2,2,Israt Parween,12000,"39,823",22.2%,Nationalist Congress Party,
3,3,Tauquir Alam,11600,"39,653",22.1%,Indian National Congress,
4,4,Sudarshan Chandra Paul,1000,"22,373",12.5%,Independent,
5,5,Mahendra Narayan Yadav,400,"3,164",1.8%,Independent,
6,6,Azam,400,"2,858",1.6%,Independent,
7,7,Md Salauddin,200,"2,197",1.2%,Independent,
8,8,Sarkar Marandi,200,"1,916",1.1%,Jharkhand Disom Party,
9,9,Shaiyad Alam,200,"1,850",1.0%,Jan Adhikar Party (Loktantrik),
10,10,Harishankar Prasad,200,"1,604",0.9%,Independent,
11,11,Md Meraj,200,"1,598",0.9%,Garib Janta Dal (Secular),
12,12,Abdus Salam,200,"1,503",0.8%,Bahujan Samaj Party,
13,13,Shahida Qureshi,200,"1,445",0.8%,Ittehad-E-Millait Council,
14,14,Israil,200,"1,345",0.8%,Shoshit Samaj Dal,
15,15,Jawed Rahi,200,"1,169",0.7%,Independent,
16,16,Kali Charan Das,200,"1,166",0.7%,Janta Dal Rashtravadi,
17,17,Suresh Ray,200,"1,110",0.6%,Rashtravadi Janata Party,
18,18,Ganga Kewat,200,"1,050",0.6%,Sarvajan Kalyan Loktantrik Party,
19,19,Jyotish Chandra Karmakar,200,985,0.6%,Independent,
20,20,Pradip Kumar Ray,200,873,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
21,21,Shambhu Bubna,200,838,0.5%,Independent,
22,22,Chandra Mohan Mandal,200,765,0.4%,Bharat Nirman Party,
23,23,Lakhan Yadav,200,748,0.4%,Bahujan Kranti Party (Marxwad-Ambedkarwad),
