x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jeetendra Kumar Rai,2200,"66,714",47.6%,Rashtriya Janata Dal,
2,2,Lal Babu Ray,2200,"49,996",35.7%,Bharatiya Janta Party,
3,3,Israr Ahmad Khan,200,"7,260",5.2%,Independent,
4,4,Jai Ram Ray,200,"4,505",3.2%,Bahujan Samaj Party,
5,5,Lalu Ray,200,"2,584",1.8%,Independent,
6,6,Nazre Hassan,200,"1,993",1.4%,Independent,
7,7,Baleshwar Prasad Yadav,200,"1,278",0.9%,Bahujan Mukti Party,
8,8,Ajay Kumar Ray,200,772,0.6%,Independent,
9,9,Vijay Sah,200,490,0.4%,Bhartiya New Sanskar Krantikari Party,
10,10,Mujahid Hussain,200,481,0.3%,Rajnaitik Vikalp Party,
