x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jibesh Kumar,27159,"62,059",41.7%,Bharatiya Janta Party,
2,2,Rishi Mishra,27159,"57,439",38.6%,Janata Dal (United),
3,3,Mujeeb Rehman,133,"6,759",4.5%,Samajwadi Party,
4,4,Sudhir Kumar,114,"4,769",3.2%,Communist Party Of India,
5,5,Sajila Khatun,107,"2,967",2.0%,Independent,
6,6,Sushil Mishra,98,"2,110",1.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
7,7,Aftab Alam,98,"2,108",1.4%,Bahujan Samaj Party,
8,8,Navin Kumar Jha,89,"1,424",1.0%,Republican Party Of India (A),
9,9,Md. Sarfaraz Ansari,89,"1,271",0.9%,Janta Dal Rashtravadi,
10,10,Anirudh Sahu,89,924,0.6%,Garib Janta Dal (Secular),
11,11,Kaunen Ahamad Varasi,89,915,0.6%,Sarvajan Kalyan Loktantrik Party,
12,12,Aman Kumar Jha,89,823,0.6%,Samras Samaj Party,
13,13,Ram Lakhan Mahto,89,709,0.5%,National Janta Party (Indian),
