x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Muneshwar Chaudhary,600,"89,249",56.6%,Rashtriya Janata Dal,
2,2,Gyanchand Manjhi,600,"49,366",31.3%,Bharatiya Janta Party,
3,3,Sampat Ram Rahi,200,"4,723",3.0%,Independent,
4,4,Shivji Das,200,"2,246",1.4%,Communist Party Of India,
5,5,Raghunandan Manjhi,200,"2,224",1.4%,Independent,
6,6,Ramji Chaudhary,200,"1,311",0.8%,Independent,
7,7,Ajit Kumar Manjhi,200,940,0.6%,Independent,
8,8,Dilip Kumar Ram,200,841,0.5%,Jan Adhikar Party (Loktantrik),
9,9,Pramila Devi,200,707,0.5%,Independent,
10,10,Surendra Kumar Das,200,638,0.4%,Bahujan Samaj Party,
11,11,Lakshmi Narayan Manjhi,200,442,0.3%,Garib Janta Dal (Secular),
