x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Poonam Devi Yadav,1000,"64,767",46.4%,Janata Dal (United),
2,2,Rajesh Kumar Urf Rohit Kumar,1000,"39,202",28.1%,Hindustani Awam Morcha (Secular),
3,3,Manohar Kumar Yadav,200,"12,791",9.2%,Jan Adhikar Party (Loktantrik),
4,4,Mukesh Kumar,200,"3,701",2.7%,Independent,
5,5,Sanjay Kumar,200,"3,508",2.5%,Communist Party Of India (MARXIST),
6,6,Gopal Krishna Kumar Chandan,200,"3,115",2.2%,Independent,
7,7,Manoj Kumar,200,"2,155",1.5%,Bahujan Mukti Party,
8,8,Birendra Kumar,200,"1,348",1.0%,Independent,
9,9,Babita Devi,200,"1,124",0.8%,Independent,
10,10,Birendra Yadav,200,917,0.7%,Independent,
11,11,Shiv Narayan Singh,200,787,0.6%,Independent,
12,12,Ganesh Thakur,200,753,0.5%,Garib Janta Dal (Secular),
13,13,Umesh Thakur,200,646,0.5%,Naya Daur Party,
