x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Lalit Kumar Yadav,600,"70,557",51.4%,Rashtriya Janata Dal,
2,2,Naushad Ahmad,600,"36,066",26.3%,Hindustani Awam Morcha (Secular),
3,3,Chandrakant Singh,200,"6,690",4.9%,Jan Adhikar Party (Loktantrik),
4,4,Jay Kant Jha,200,"3,686",2.7%,Independent,
5,5,Vishwanath Mandal,200,"3,466",2.5%,Independent,
6,6,Md Jasim Haider,200,"3,018",2.2%,Independent,
7,7,Ram Dayal Sahni,200,"2,925",2.1%,Bahujan Samaj Party,
8,8,Sanichari Devi,200,"1,624",1.2%,Communist Party Of India (Marxist-Leninist) (Liberation),
9,9,Kapleshwar Ram,200,"1,389",1.0%,Independent,
10,10,Mithilesh Kumar Yadav,200,"1,345",1.0%,Samajwadi Party,
11,11,Shiv Narayan Mandal,200,"1,321",1.0%,Shiv Sena,
12,12,Ravi Ranjan,200,570,0.4%,Bhartiya Janhit Dal,
