x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vijay Shanker Dubey,5000,"29,558",20.6%,Indian National Congress,
2,2,Keshav Singh,5000,"20,692",14.4%,Lok Jan Shakti Party,
3,3,Dr. Satyendra Yadav,2800,"17,803",12.4%,Communist Party Of India (MARXIST),
4,4,Rana Pratap Singh,1600,"14,322",10.0%,Independent,
5,5,Gautam Singh,1400,"13,449",9.4%,Samajwadi Party,
6,6,Om Prakash Prasad,1200,"12,947",9.0%,Independent,
7,7,Rabindra Nath Mishra,800,"9,713",6.8%,Independent,
8,8,Rai Bahadur Singh,600,"5,938",4.1%,Independent,
9,9,Hem Narayan Singh,600,"5,363",3.7%,Independent,
10,10,Rajesh Tyagi,400,"2,787",1.9%,Bahujan Samaj Party,
11,11,Ram Narayan Yadav,400,"2,695",1.9%,Independent,
12,12,Santosh Prasad,400,"1,591",1.1%,Shiv Sena,
13,13,Keshawanand Giri,400,"1,401",1.0%,Independent,
14,14,Dhruv Dev Gupta,400,"1,349",0.9%,Garib Janta Dal (Secular),
15,15,Ravikant Chaurasiya,400,681,0.5%,Bhartiya New Sanskar Krantikari Party,
