x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Varsha Rani,3833,"68,963",48.4%,Rashtriya Janata Dal,
2,2,Kumar Shailendra,3833,"56,247",39.5%,Bharatiya Janta Party,
3,3,Lal Bahadur Singh,89,"4,141",2.9%,Independent,
4,4,Haidar Ali,83,"2,983",2.1%,Independent,
5,5,Ajmery Khatun,83,"1,874",1.3%,Jan Adhikar Party (Loktantrik),
6,6,Bindeshwari Mandal,75,846,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
7,7,Suman Kumar,75,784,0.6%,Independent,
8,8,Gautam Kumar Pritam,75,627,0.4%,Socialist Party (India),
9,9,Baby Kumari,75,579,0.4%,Independent,
10,10,Radhunath Das,75,547,0.4%,Vanchitsamaj Insaaf Party,
11,11,Rajesh Kumar Jha,75,531,0.4%,Independent,
12,12,Nikhil Kumar,75,395,0.3%,Aarakshan Virodhi Party,
13,13,Chhanguri Sharma,75,238,0.2%,Independent,
14,14,Jiwan Mahto,75,208,0.2%,Independent,
