x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Satyadeo Singh,2000,"43,676",37.8%,Janata Dal (United),
2,2,Ashok Kumar Verma,2000,"29,557",25.6%,Rashtriya Lok Samta Party,
3,3,Rajendra Yadav,400,"8,896",7.7%,Bahujan Samaj Party,
4,4,Prof. Ram Jatan Sinha,200,"6,285",5.4%,Independent,
5,5,Bindal Kumar Alias Indal Yadav,200,"5,868",5.1%,Shiv Sena,
6,6,Avadhesh Kumar,200,"3,960",3.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
7,7,Dr.Satyendra Prakash Yadav,200,"1,711",1.5%,Garib Janta Dal (Secular),
8,8,Keshav Prasad,200,"1,676",1.5%,Independent,
9,9,Sunil Kumar,200,"1,301",1.1%,Independent,
10,10,Nagmani,200,"1,187",1.0%,Samras Samaj Party,
11,11,Ramnath Prasad,200,"1,070",0.9%,Independent,
12,12,Ranjit Kumar Singh Alias Ranjit Yadav,200,"1,029",0.9%,Rashtriya Janvikas Party (Democratic),
13,13,Champa Devi,200,922,0.8%,Independent,
14,14,Amrender Singh,200,890,0.8%,Lok Dal,
15,15,"Brajesh Kumar ""guru""",200,813,0.7%,Aarakshan Virodhi Party,
16,16,Shafikur Raman,200,794,0.7%,Janta Dal Rashtravadi,
17,17,Surendra Prasad Yadav,200,749,0.7%,Independent,
18,18,Anjani Kumar Raju,200,707,0.6%,Independent,
19,19,Rupesh Kumar,200,584,0.5%,Socialist Unity Centre Of India (COMMUNIST),
20,20,Ram Prabesh Yadav,200,501,0.4%,Shoshit Samaj Dal,
21,21,Shiv Kumar Singh,200,487,0.4%,Independent,
22,22,Kaushlendra Kumar,200,356,0.3%,Pragatisheel Magahi Samaj,
