x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rana Randhir,2083,"61,054",43.9%,Bharatiya Janta Party,
2,2,Shivajee Rai,2083,"44,832",32.3%,Janata Dal (United),
3,3,Santosh Kumar Madhukar,170,"12,366",8.9%,Bahujan Samaj Party,
4,4,Bhagwan Sah,106,"4,882",3.5%,Jan Adhikar Party (Loktantrik),
5,5,Syead Mohammad Imam,99,"2,837",2.0%,Independent,
6,6,Dinesh Prasad,93,"2,075",1.5%,Independent,
7,7,Rahul Kumar,91,"1,746",1.3%,Independent,
8,8,Shashi Ranjan Kumar,91,"1,658",1.2%,Shiv Sena,
9,9,Sudhir Kumar Singh,82,"1,176",0.9%,Communist Party Of India,
10,10,Jagdish Prasad,82,614,0.4%,Bajjikanchal Vikas Party,
11,11,Amjad Kamal,82,573,0.4%,Samajwadi Party,
12,12,Chandirka Ray,82,455,0.3%,Jharkhand Mukti Morcha,
