x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ajeet Sharma,6210,"70,514",46.2%,Indian National Congress,
2,2,Arjit Shashwat Choubey,6210,"59,856",39.3%,Bharatiya Janta Party,
3,3,Bijay Pd. Sah,171,"15,212",10.0%,Independent,
4,4,Md Shahab Alam,79,954,0.6%,Bahujan Samaj Party,
5,5,Ravishankar Singh,79,810,0.5%,Proutist Bloc India,
6,6,Syed Bashar Ali,79,612,0.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
7,7,Om Bhasker,79,579,0.4%,Independent,
8,8,Aruna Devi,79,492,0.3%,National Tiger Party,
9,9,Munshi Das,79,479,0.3%,Independent,
10,10,Dayaram Mandal,79,268,0.2%,Bahujan Mukti Party,
11,11,Gopal Bharti,79,235,0.2%,Samajwadi Party,
