x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shreenarayan Yadav,400,"78,225",57.1%,Rashtriya Janata Dal,
2,2,M.D. Aslam,400,"32,751",23.9%,Lok Jan Shakti Party,
3,3,Surendra Vivek,200,"12,259",9.0%,Independent,
4,4,S.M. Noor Alam,200,"2,198",1.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
5,5,Maulana Kasim,200,"1,874",1.4%,Independent,
6,6,Sarita Devi,200,"1,804",1.3%,Bahujan Samaj Party,
7,7,Raj Kumar Prasad,200,"1,013",0.7%,Jan Adhikar Party (Loktantrik),
8,8,Dr. Ram Uday Sharma,200,819,0.6%,Shoshit Samaj Dal,
9,9,Makkhan Sah,200,724,0.5%,Bhartiya Jantantrik Janata Dal,
10,10,Pravin Kumar,200,685,0.5%,Bahujan Mukti Party,
11,11,Mobassir Ahmad,200,654,0.5%,Naya Daur Party,
