x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Anil Singh,6800,"82,493",44.8%,Bharatiya Janta Party,
2,2,Kaushal Yadav,6800,"70,254",38.1%,Janata Dal (United),
3,3,Nitu Kumari,200,"14,188",7.7%,Samajwadi Party,
4,4,Naresh Chandra Sharma,200,"4,902",2.7%,Communist Party Of India (MARXIST),
5,5,Ramsawrup Yadav,200,"3,136",1.7%,Independent,
6,6,Pradeep Rajbanshi,200,"1,516",0.8%,Moolniwasi Samaj Party,
7,7,Love Kumar Singh,200,"1,057",0.6%,Bahujan Samaj Party,
8,8,Manish Kumar,200,935,0.5%,Independent,
9,9,Rajesh Kumar,200,728,0.4%,Garib Janta Dal (Secular),
