x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Md. Afaque Alam,122400,"81,633",44.7%,Indian National Congress,
2,2,Pradip Kumar Das,122400,"79,839",43.8%,Bharatiya Janta Party,
3,3,Sanjay Kumar Mirdha,200,"4,777",2.6%,Independent,
4,4,Sada Nand Yadav,200,"2,777",1.5%,Independent,
5,5,Syed Ghulam Hussain,200,"2,669",1.5%,Nationalist Congress Party,
6,6,Ajeet Kumar Mehta,200,"2,318",1.3%,Bahujan Samaj Party,
7,7,Deepak Kumar Chauhan,200,"1,553",0.9%,Independent,
8,8,Shakti Nath Yadav,200,"1,425",0.8%,Independent,
9,9,Bambam Sah,200,"1,122",0.6%,Shiv Sena,
10,10,Afjal Khan Alias Mukhtar,200,546,0.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Akhilesh Jha,200,421,0.2%,Independent,
12,12,Akhtar Ali,200,388,0.2%,Maanavvaadi Janta Party,
13,13,Md. Shahid,200,339,0.2%,Sarvajan Kalyan Loktantrik Party,
14,14,Md.  Kasim,200,316,0.2%,Indian Union Muslim League,
15,15,Parmeshwar Lal Bishwas,200,297,0.2%,Lok Dal,
