x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sachindra Prasad Singh,3708,"50,060",36.9%,Bharatiya Janta Party,
2,2,Razia Khatoon,3708,"38,572",28.5%,Janata Dal (United),
3,3,Manoj Kumar Yadav,774,"26,430",19.5%,Samajwadi Party,
4,4,Ramayan Singh,147,"4,657",3.4%,Communist Party Of India,
5,5,Pintu Rani,132,"3,341",2.5%,Independent,
6,6,Umesh Kumar Singh,113,"2,243",1.7%,Independent,
7,7,Suresh Mukhiya,113,"1,793",1.3%,Bahujan Samaj Party,
8,8,Mahtab Alam,113,"1,454",1.1%,Aam Janata Party,
9,9,Brajesh Ojha,113,"1,393",1.0%,Sarvajan Kalyan Loktantrik Party,
10,10,Pramod Giri,113,"1,320",1.0%,Garib Janta Dal (Secular),
