x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Birendra Kumar Sinha,5511,"56,042",34.9%,Rashtriya Janata Dal,
2,2,Chandra Bhushan Verma,5511,"44,646",27.8%,Rashtriya Lok Samta Party,
3,3,Raja Ram Singh,525,"22,801",14.2%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Som Prakash,226,"10,114",6.3%,Swaraj Party (Loktantrik),
5,5,Ram Autar Chaudhari,181,"6,561",4.1%,Bahujan Samaj Party,
6,6,Abhimanyu Sharma,147,"3,720",2.3%,Nationalist Congress Party,
7,7,Richa Singh,127,"1,868",1.2%,Independent,
8,8,Brinda Singh,127,"1,828",1.1%,Independent,
9,9,Neelam Kumari,127,"1,798",1.1%,Samajwadi Party,
10,10,Shailesh Kumar Chandravanshi,127,"1,691",1.1%,Akhil Hind Forward Block,
11,11,Akhilesh Sharma,127,"1,487",0.9%,Independent,
12,12,Rajeev Kumar,116,"1,004",0.6%,Samras Samaj Party,
13,13,Binay Kumar,116,942,0.6%,Independent,
14,14,Anjani Kumar,116,794,0.5%,Sarvajan Kalyan Loktantrik Party,
15,15,Shiv Kumar,116,719,0.5%,Rashtra Sewa Dal,
16,16,Ramraj Yadav,116,706,0.4%,Independent,
17,17,Judagir Mistri,116,622,0.4%,Pragatisheel Magahi Samaj,
18,18,Niraj Kumar,116,609,0.4%,Socialist Party (India),
