x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Saroj Yadav,3800,"65,001",44.3%,Rashtriya Janata Dal,
2,2,Aasha Devi,3800,"51,693",35.3%,Bharatiya Janta Party,
3,3,Raghvendra Pratap Singh,200,"13,638",9.3%,Samajwadi Party,
4,4,Lalan Yadav,200,"3,442",2.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
5,5,Sanjay Kumar Singh,200,"1,820",1.2%,Independent,
6,6,Ajay Ray,200,"1,582",1.1%,Bahujan Samaj Party,
7,7,Dr. Anil Kumar Singh,200,"1,507",1.0%,Hindustan Vikas Dal,
8,8,Siyamati Rai,200,"1,350",0.9%,Independent,
9,9,Daya Shankar Singh,200,"1,288",0.9%,Independent,
10,10,Mritunjay Bhardwaj,200,"1,140",0.8%,Shiv Sena,
11,11,Sanjay Kumar Singh,200,630,0.4%,Revolutionary Socialist Party,
12,12,Ashok Kumar Singh,200,605,0.4%,National Janta Party (Indian),
