x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Niranjan Ram,10229,"60,911",43.3%,Bharatiya Janta Party,
2,2,Sanjay Kumar,10229,"53,330",37.9%,Indian National Congress,
3,3,Ram Raj Ram,157,"9,921",7.1%,Bahujan Samaj Party,
4,4,Chandra Shekhar Paswan,112,"4,530",3.2%,Independent,
5,5,Munna Ram,96,"2,466",1.8%,Communist Party Of India (Marxist-Leninist) (Liberation),
6,6,Dadan Ram,87,"1,105",0.8%,Swaraj Party (Loktantrik),
7,7,Shailendra Kumar Prabhakar,87,"1,085",0.8%,Independent,
8,8,Shriniwas Paswan,87,997,0.7%,Independent,
9,9,Brajesh Kumar,87,909,0.7%,Independent,
10,10,Satynrayan Ram,87,738,0.5%,Bahujan Mukti Party,
11,11,Bangali Paswan,87,711,0.5%,Samajwadi Party,
12,12,Dulesh Ram,87,550,0.4%,Independent,
13,13,Vinod Rajak,87,477,0.3%,Garib Janta Dal (Secular),
14,14,Indrajit Ram,87,446,0.3%,Independent,
