x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Anirudh Prasad Yadav,1400,"79,600",47.5%,Janata Dal (United),
2,2,Ram Kumar Roy,1400,"55,649",33.2%,Bharatiya Janta Party,
3,3,Vijay Kumar Yadav,118,"10,001",6.0%,Jan Adhikar Party (Loktantrik),
4,4,Shrawan Kumar Chaudhary,83,"2,728",1.6%,Independent,
5,5,Ramdev Sharma,83,"2,353",1.4%,Independent,
6,6,Gautam Kumar,75,"1,626",1.0%,Samajwadi Party,
7,7,Binod Kumar Sahu,75,"1,591",1.0%,Bahujan Samaj Party,
8,8,Laxmi Kant Jha,75,"1,504",0.9%,Akhil Bhartiya Mithila Party,
9,9,Kusheshwar Pandey,75,"1,347",0.8%,Jai Hind Party,
10,10,Arun Kumar Yadav,75,"1,330",0.8%,Jharkhand Mukti Morcha,
11,11,"Sunil Kumar ""suman""",75,"1,279",0.8%,Communist Party Of India (Marxist-Leninist) (Liberation),
12,12,Upendra Singh Kushwaha,75,639,0.4%,Bharat Vikas Morcha,
13,13,Arjun Mandal,75,610,0.4%,Shiv Sena,
14,14,Ishtiyaque Ahmad,75,480,0.3%,Rashtriya Krantikari Samajwadi Party,
