x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Alok Kumar Mehta,317,"85,466",52.2%,Rashtriya Janata Dal,
2,2,Kumar Anant,317,"38,006",23.2%,Rashtriya Lok Samta Party,
3,3,Ajay Kumar,138,"18,973",11.6%,Communist Party Of India (MARXIST),
4,4,Vinod Kumar Ray,74,"3,727",2.3%,Independent,
5,5,Baiju Kumar Ray,72,"3,156",1.9%,Independent,
6,6,Ram Kumar Baitha,72,"2,357",1.4%,Independent,
7,7,Rajesh Kumar,65,"1,565",1.0%,Shiv Sena,
8,8,Dilip Kumar Sahani,65,906,0.6%,Bahujan Samaj Party,
9,9,Ramashraya Thakur,65,797,0.5%,Samajwadi Party,
10,10,Pawan Kumar,65,781,0.5%,Independent,
11,11,Yogendra Ray,65,622,0.4%,Garib Janta Dal (Secular),
12,12,Vivekanand Kumar,65,442,0.3%,Bahujan Mukti Party,
13,13,Kawsar Akhhtar Khaleel,65,428,0.3%,National Target Party,
