x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bijendra Prasad Yadav,600,"82,295",54.7%,Janata Dal (United),
2,2,Kishor Kumar,600,"44,898",29.8%,Bharatiya Janta Party,
3,3,Suresh Kumar Azad,200,"5,501",3.7%,Jai Hind Party,
4,4,Md. Ziyaur Rahman,200,"4,322",2.9%,Bahujan Samaj Party,
5,5,Bijendra Narayan Yadav,200,"2,907",1.9%,Independent,
6,6,Bhogi Mandal,200,"1,917",1.3%,Rashtravadi Janata Party,
7,7,Arvind Kumar Sharma,200,"1,915",1.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Jay Narayan Yadav,200,"1,261",0.8%,Lok Sewa Dal,
9,9,Prem Hans Kumar,200,"1,141",0.8%,Samajwadi Party,
