x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajballabh Prasad,3400,"88,235",50.1%,Rashtriya Janata Dal,
2,2,Indradeo Prasad,3400,"71,509",40.6%,Rashtriya Lok Samta Party,
3,3,Sudhir Kumar,200,"2,435",1.4%,Independent,
4,4,Ranjeet Kumar,200,"1,500",0.9%,Shiv Sena,
5,5,Ram Jatan Yadav,200,"1,442",0.8%,Bahujan Samaj Party,
6,6,Satyendra Prasad Yadav,200,865,0.5%,Independent,
7,7,Savitri Devi,200,748,0.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Shubhanker Sharma,200,480,0.3%,Independent,
9,9,Shyam Shyamal,200,426,0.2%,Independent,
10,10,Nitish Kumar Rana,200,374,0.2%,Independent,
11,11,Satish Kumar,200,346,0.2%,Deshi Kisan Party,
12,12,Arun Kumar,200,278,0.2%,Independent,
