x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shatrudhan Tiwary,14600,"39,134",29.9%,Bharatiya Janta Party,
2,2,Krishan Kumar Mantoo,14600,"33,883",25.9%,Janata Dal (United),
3,3,Sunil Kumar,4200,"29,226",22.3%,Independent,
4,4,Ram Pukar Mehta,400,"6,694",5.1%,Independent,
5,5,Birendra Kumar Yadav,400,"4,804",3.7%,Independent,
6,6,Bir Kuar Singh,200,"2,221",1.7%,Independent,
7,7,Poonam Rai,200,"1,993",1.5%,Bahujan Samaj Party,
8,8,Nand Kumar Giri,200,"1,639",1.3%,Communist Party Of India,
9,9,Priy Ranjan Yuvraj,200,"1,441",1.1%,Independent,
10,10,Arvinda Kumar Singh,200,"1,016",0.8%,Public Mission Party,
11,11,Priy Ranjan Singh,200,803,0.6%,Independent,
12,12,Sonalal Gupta,200,650,0.5%,Bhartiya New Sanskar Krantikari Party,
13,13,Chhote Lal Rai,200,638,0.5%,Independent,
14,14,Dhanna Devi,200,506,0.4%,Garib Janta Dal (Secular),
