x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kunti Devi,3600,"60,687",39.0%,Rashtriya Janata Dal,
2,2,Arvind Kumar Singh,3600,"46,870",30.1%,Lok Jan Shakti Party,
3,3,Krishna Nandan Yadav,200,"9,603",6.2%,Jan Adhikar Party (Loktantrik),
4,4,Sitaram Prasad Yadav,200,"6,554",4.2%,Communist Party Of India,
5,5,Darvesh Singh,200,"5,926",3.8%,Independent,
6,6,Subhash Kumar Sinha,200,"5,317",3.4%,Independent,
7,7,Mundrika Singh Yadav,200,"3,659",2.4%,Independent,
8,8,Md. Sarwar Khan,200,"2,660",1.7%,Independent,
9,9,Jai Prakash Singh,200,"1,718",1.1%,Independent,
10,10,Sunil Kumar,200,"1,663",1.1%,Bahujan Samaj Party,
11,11,Ramcharitar Chohan,200,"1,646",1.1%,Independent,
12,12,Bijay Yadav,200,855,0.6%,International Party,
13,13,Mohammad Aurangajeb,200,802,0.5%,Garib Janta Dal (Secular),
14,14,Rajeev Ranjan,200,787,0.5%,Independent,
15,15,Vishwajit Kumar Navin,200,771,0.5%,National Janta Party (Indian),
