x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramchandra Sahni,11800,"62,384",40.1%,Bharatiya Janta Party,
2,2,Om Prakash Choudhary,11800,"54,628",35.1%,Rashtriya Janata Dal,
3,3,Shashi Bhushan Singh,400,"15,004",9.7%,Independent,
4,4,Ram Gopal,200,"6,950",4.5%,Independent,
5,5,Radha Mohan Singh,200,"4,335",2.8%,Communist Party Of India,
6,6,Madan Mohan Yadav,200,"2,666",1.7%,Communist Party Of India (MARXIST),
7,7,Md. Hasnain 'azad',200,"1,239",0.8%,Rashtriya Jankranti Party,
8,8,Anuranjan Jha,200,"1,177",0.8%,Independent,
9,9,Mohammad Eainullah,200,"1,059",0.7%,Independent,
10,10,Bairister Baitha,200,"1,020",0.7%,Independent,
11,11,Omprakash Gupta,200,770,0.5%,Bahujan Samaj Party,
12,12,Awadhesh Kumar,200,733,0.5%,Independent,
13,13,Anita Devi,200,617,0.4%,Independent,
14,14,Angad Chaudhary,200,390,0.3%,Independent,
