x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Subash Singh,32600,"78,491",45.5%,Bharatiya Janta Party,
2,2,"Reyajul Haque Alias "" Raju""",32600,"73,417",42.6%,Rashtriya Janata Dal,
3,3,Jay Hind Prasad,200,"3,565",2.1%,Bahujan Samaj Party,
4,4,Om Prakash Singh,200,"3,240",1.9%,Independent,
5,5,Sunil Pandey,200,"2,937",1.7%,Independent,
6,6,Surendra Ram,200,"2,844",1.7%,Independent,
7,7,Dr. Rajesh Kumar Vernwal,200,"1,552",0.9%,Independent,
8,8,Chandan Singh,200,"1,255",0.7%,Rajnaitik Vikalp Party,
9,9,Vidya Prasad Kushvaha,200,754,0.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
10,10,Anup Kumar Srivastava,200,649,0.4%,Independent,
11,11,Mahahamd Amirullah Ansari,200,513,0.3%,Garib Janta Dal (Secular),
12,12,Yogendra Prasad,200,501,0.3%,Bharatiya Ekta Dal,
13,13,Sikander Azam,200,485,0.3%,Gareeb Aadmi Party,
14,14,Pramod Kumar Singh,200,382,0.2%,Samajwadi Party,
15,15,Motilal Gupta,200,330,0.2%,Socialist Party (India),
