x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sunil Kumar,3965,"81,557",49.6%,Rashtriya Janata Dal,
2,2,Sunil Kumar Alias Pintu,3965,"66,835",40.7%,Bharatiya Janta Party,
3,3,Nagina Devi,82,"3,624",2.2%,Independent,
4,4,Anup Mahto,82,"2,236",1.4%,Rashtriya Janshanti Party,
5,5,Rakesh Kumar Tunna,74,"2,059",1.3%,Independent,
6,6,Irshad Ahmad,74,959,0.6%,Bahujan Samaj Party,
7,7,Shahin Parween,74,948,0.6%,Independent,
8,8,Chandrika Prasad,74,890,0.5%,Independent,
9,9,Eftekhar Afatab,74,781,0.5%,Nationalist Congress Party,
10,10,Umesh Paswan,74,573,0.4%,Independent,
11,11,Ram Kishore Rai,74,550,0.3%,Samajwadi Party,
12,12,Umesh Kumar Singh,74,487,0.3%,Sarvajan Kalyan Loktantrik Party,
13,13,Vinod Sah,74,466,0.3%,Hindusthan Nirman Dal,
14,14,Ramesh Sah,74,390,0.2%,Garib Janta Dal (Secular),
15,15,Ram Vinay Singh Kushwaha,74,374,0.2%,Bahujan Mukti Party,
