x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Panna Lal Singh Patel,4173,"63,216",37.8%,Janata Dal (United),
2,2,Mithilesh Kumar Nishad,4173,"49,691",29.7%,Lok Jan Shakti Party,
3,3,Vijay Kumar Pandav,244,"15,604",9.3%,Independent,
4,4,Prabhakar Prasad Singh,175,"9,963",6.0%,Communist Party Of India,
5,5,Maheshwar Shrma,149,"6,723",4.0%,Independent,
6,6,Nagendra Singh Tyagi,128,"4,140",2.5%,Jan Adhikar Party (Loktantrik),
7,7,Naveen Kumar Sah,121,"3,095",1.9%,Bahujan Samaj Party,
8,8,Sanjay Kumar,121,"3,064",1.8%,Independent,
9,9,Akhilesh Kumar Vidyarthi,121,"2,867",1.7%,Independent,
10,10,Binod Yadav,111,"2,305",1.4%,Rashtravadi Janata Party,
11,11,Bindu Devi,98,"1,164",0.7%,Bahujan Mukti Party,
