x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dinkar Ram,1800,"74,763",49.1%,Bharatiya Janta Party,
2,2,Surendra Ram,1800,"54,597",35.9%,Indian National Congress,
3,3,Deeplal Paswan Baghela,200,"4,318",2.8%,Independent,
4,4,Subodh Ram,200,"3,099",2.0%,Rashtravadi Janata Party,
5,5,Manoj Ram,200,"2,273",1.5%,Bahujan Samaj Party,
6,6,Sadhu Sharan Das,200,"2,151",1.4%,Independent,
7,7,Indal Paswan,200,"1,763",1.2%,Bahujan Mukti Party,
8,8,Ramchandra Paswan,200,"1,131",0.7%,Samajwadi Party,
9,9,Bhola Ram,200,877,0.6%,Sarvajan Kalyan Loktantrik Party,
10,10,Umesh Ram,200,783,0.5%,National Janta Party (Indian),
11,11,Raghvendra Kumar,200,778,0.5%,Rashtriya Mahan Gantantra Party,
12,12,Kapil Deo Paswan,200,672,0.4%,Janta Dal Rashtravadi,
