x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ratnesh Sada,198,"88,789",59.7%,Janata Dal (United),
2,2,Sarita Devi,198,"35,026",23.5%,Lok Jan Shakti Party,
3,3,Manoj Paswan,65,"5,443",3.7%,Jan Adhikar Party (Loktantrik),
4,4,Rajkumar Chaudhary,65,"4,830",3.3%,Communist Party Of India,
5,5,Prithvi Chand Sada,53,"2,246",1.5%,Independent,
6,6,Chandan Rishideo,53,"2,238",1.5%,Maanavvaadi Janta Party,
7,7,Satyanarayan Paswan,53,"2,007",1.4%,Bahujan Mukti Party,
8,8,Rajesh Ram,53,"1,809",1.2%,Bahujan Samaj Party,
