x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,M.D. Tauseef Alam,3541,"53,533",33.6%,Indian National Congress,
2,2,Awadh Bihari Singh,3541,"39,591",24.8%,Bharatiya Janta Party,
3,3,Md. Maswar Alam,1647,"33,638",21.1%,Jan Adhikar Party (Loktantrik),
4,4,Hasnain Mirza,220,"8,230",5.2%,Samajwadi Party,
5,5,Barun Kumar Singh,175,"4,901",3.1%,Independent,
6,6,Hasan Javed,146,"2,435",1.5%,Jharkhand Mukti Morcha,
7,7,Parmeshwar Prasad Sinha,146,"2,428",1.5%,Bahujan Samaj Party,
8,8,Md Mansoor Alam,146,"2,422",1.5%,Nationalist Congress Party,
9,9,Hari Mohan Singh,137,"1,816",1.1%,Independent,
10,10,Suresh Prasad Mandal,134,"1,684",1.1%,Independent,
11,11,Raj Kumar Sah,134,"1,674",1.1%,Independent,
12,12,Md. Manjar Hasnain,134,"1,387",0.9%,Garib Janta Dal (Secular),
13,13,Sakil Akhter,134,"1,378",0.9%,Indian Union Muslim League,
14,14,Azimuddin,122,"1,022",0.6%,Independent,
15,15,Hira Nand Mandal,122,826,0.5%,Rashtriya Jankranti Party,
16,16,Md. Nasim Akhtar,122,610,0.4%,Janta Dal Rashtravadi,
17,17,Afsar,122,493,0.3%,Bahujan Nyay Dal,
18,18,Gotam Giri,122,419,0.3%,Shiv Sena,
