x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Pramod Kumar,2487,"79,947",47.5%,Bharatiya Janta Party,
2,2,Binod Kumar Shrivastava,2487,"61,430",36.5%,Rashtriya Janata Dal,
3,3,Manoj Kumar,104,"7,619",4.5%,Independent,
4,4,Ravi Bhushan Prasad,98,"6,369",3.8%,Bahujan Samaj Party,
5,5,Harishchandra Pandit,86,"2,956",1.8%,Aap Aur Hum Party,
6,6,Arvind Kumar,84,"2,242",1.3%,Communist Party Of India (MARXIST),
7,7,Tribeni Tiwari,75,"1,905",1.1%,Communist Party Of India,
8,8,Tafajjul Hussain,75,"1,570",0.9%,Independent,
9,9,Bikrama Singh,75,976,0.6%,Sarvajan Kalyan Loktantrik Party,
10,10,Neetu Singh Kushwaha,75,890,0.5%,Jan Adhikar Party (Loktantrik),
