x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dhirendra Pratap Singh Alias Rinku Singh,800,"66,860",36.2%,Independent,
2,2,Irshad Hussain,800,"33,280",18.0%,Indian National Congress,
3,3,Surendra Prasad,800,"32,855",17.8%,Rashtriya Lok Samta Party,
4,4,Rajesh Singh,200,"11,472",6.2%,Samajwadi Party,
5,5,Altaf Hussain,200,"11,097",6.0%,Bahujan Samaj Party,
6,6,Dip Narayan Mahato,200,"8,355",4.5%,Independent,
7,7,Shyam Narayan Prasad,200,"3,196",1.7%,Independent,
8,8,Virendra Yadav,200,"2,477",1.3%,Independent,
9,9,Surendra Singh,200,"2,037",1.1%,Independent,
10,10,Mahanth Chaudhary,200,"1,973",1.1%,Sarvajan Kalyan Loktantrik Party,
11,11,Dhananjay Pandey,200,"1,826",1.0%,Shiv Sena,
12,12,Vishnudeo Prasad Yadav,200,"1,466",0.8%,Communist Party Of India (Marxist-Leninist) (Liberation),
13,13,Rajesh Kumar Kewat,200,"1,173",0.6%,Garib Janta Dal (Secular),
