x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,M L  Choudhary,4721,"66,411",43.6%,Janata Dal (United),
2,2,Sakuni Choudhary,4721,"54,464",35.8%,Hindustani Awam Morcha (Secular),
3,3,Sanjay Kumar,107,"5,017",3.3%,Jharkhand Mukti Morcha,
4,4,Karmvir Kumar Bharati,100,"3,971",2.6%,Independent,
5,5,Anil Kumar Singh,93,"2,797",1.8%,Independent,
6,6,Gopal Krishna Barma,93,"2,494",1.6%,Shiv Sena,
7,7,Sagar Suman Singh,93,"2,411",1.6%,Communist Party Of India,
8,8,Vijay Kumar Singh,93,"2,371",1.6%,Rashtriya Samanta Dal,
9,9,Ram Prasad Sah,93,"1,809",1.2%,Aap Aur Hum Party,
10,10,Anita Devi,82,"1,567",1.0%,Jan Adhikar Party (Loktantrik),
11,11,Krishnadeo Sah,82,"1,278",0.8%,Socialist Unity Centre Of India (COMMUNIST),
12,12,Amareshwar Kumar,82,"1,145",0.8%,Independent,
13,13,Sita Ram Das,82,949,0.6%,Bahujan Samaj Party,
