x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Naushad Alam (TATPAUWA),14286,"74,239",41.2%,Janata Dal (United),
2,2,Gopal Kumar Agrawal,14286,"66,152",36.7%,Lok Jan Shakti Party,
3,3,Faiyaz Alam,164,"12,136",6.7%,Samajwadi Party,
4,4,Ahmad Hussain,159,"11,176",6.2%,Jharkhand Mukti Morcha,
5,5,Chitranjan Singh,110,"3,693",2.1%,Independent,
6,6,Mustak Alam,100,"3,137",1.7%,Independent,
7,7,Punam Devi,91,"1,562",0.9%,Jan Adhikar Party (Loktantrik),
8,8,Md Isamail,91,"1,161",0.6%,Janta Dal Rashtravadi,
9,9,Naushad Alam (TELIBHITTA),91,"1,041",0.6%,Indian Union Muslim League,
10,10,Hemant Roy,91,998,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Pramod Ram,91,696,0.4%,Loktantrik Janata Party (Secular),
