x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dinesh Chandra Yadav,600,"78,514",47.5%,Janata Dal (United),
2,2,Yusuf Salahuddin,600,"40,708",24.6%,Lok Jan Shakti Party,
3,3,Ritesh Ranjan,200,"9,847",6.0%,Independent,
4,4,Ganesh Mukhiya Nishad,200,"6,843",4.1%,Sarvajan Kalyan Loktantrik Party,
5,5,Yaduvansh Roy,200,"3,766",2.3%,Independent,
6,6,Dinesh Kumar Choudhary,200,"3,717",2.3%,Jharkhand Mukti Morcha,
7,7,Arbind Kumar Singh,200,"3,705",2.2%,Independent,
8,8,Upendra Yadav,200,"2,290",1.4%,Independent,
9,9,Dharamavir Yadav,200,"1,825",1.1%,Jan Adhikar Party (Loktantrik),
10,10,Binod Paswan,200,"1,762",1.1%,Bahujan Samaj Party,
11,11,Arvind Kumar,200,"1,603",1.0%,Independent,
12,12,Umesh Chandra Bharti,200,"1,277",0.8%,Akhil Bhartiya Mithila Party,
13,13,Sanjay Singh Chauhan,200,937,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
14,14,Sri Kant Poddar,200,838,0.5%,Rashtravadi Janata Party,
