x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vidya Sagar Keshri,1800,"85,929",46.2%,Bharatiya Janta Party,
2,2,Krityanand Biswas,1800,"60,691",32.6%,Rashtriya Janata Dal,
3,3,Zakir Hussain Khan,200,"18,894",10.2%,Jan Adhikar Party (Loktantrik),
4,4,Laxmi Narayan Mehta,200,"4,262",2.3%,Bahujan Samaj Party,
5,5,Raja Raman Bhaskar,200,"3,259",1.8%,Independent,
6,6,Ashok Mishra,200,"2,304",1.2%,Nationalist Congress Party,
7,7,Satya Narayan Writer,200,"1,917",1.0%,Independent,
8,8,Subhash Chand Jha,200,"1,276",0.7%,Akhil Bhartiya Mithila Party,
9,9,Manjula Devi,200,"1,267",0.7%,Independent,
10,10,Gayatri Devi,200,"1,188",0.6%,Independent,
11,11,Noorullah,200,952,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
12,12,Manoj Sada,200,569,0.3%,Bharat Vikas Morcha,
