x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Hem Narayan Sah,1800,"68,459",45.5%,Janata Dal (United),
2,2,Kumar Deo Ranjan Singh,1800,"48,167",32.0%,Bharatiya Janta Party,
3,3,Satyendra Kumar Gandhi,200,"5,743",3.8%,Janta Dal Rashtravadi,
4,4,Manoranjan Kumar Singh,200,"4,864",3.2%,Independent,
5,5,Munshi Singh,200,"3,909",2.6%,Communist Party Of India (MARXIST),
6,6,Rabindra Ray,200,"3,108",2.1%,Independent,
7,7,Bishawanath Yadeo,200,"2,054",1.4%,Jan Adhikar Party (Loktantrik),
8,8,Rajendra Singh,200,"2,049",1.4%,Communist Party Of India,
9,9,Om Prakash Sharma,200,"1,974",1.3%,Independent,
10,10,Atish Singh,200,"1,549",1.0%,Bharti Samudaya Party,
11,11,Nagmani Singh,200,"1,264",0.8%,Rashtrawadi Yuva Party,
12,12,Tanweer Ahmad Khan,200,"1,256",0.8%,Bahujan Samaj Party,
13,13,Dilip Kumar Bharti,200,"1,245",0.8%,Independent,
14,14,Om Prakash Singh,200,"1,103",0.7%,Bhartiya New Sanskar Krantikari Party,
15,15,Govind Narayan Singh,200,810,0.5%,Independent,
16,16,Md.Kalam,200,625,0.4%,Garib Janta Dal (Secular),
17,17,Nayan Prasad,200,589,0.4%,Bharat Ka Kisan Majdoor Party,
