x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Som Dutt,328,"67,507",56.6%,Aam Aadmi Party,
2,2,Parveen Kumar Jain,328,"33,192",27.8%,Bharatiya Janta Party,
3,3,Ajay Makan,129,"16,331",13.7%,Indian National Congress,
4,4,Mirza Ali Raza,57,748,0.6%,Bahujan Samaj Party,
5,5,Man Mohan,57,257,0.2%,Shiv Sena,
6,6,Ghanshyam Dass,57,189,0.2%,Independent,
7,7,Prashant Yadav,57,172,0.1%,Independent,
8,8,Ritu Kaushik,57,130,0.1%,Socialist Unity Centre Of India (COMMUNIST),
9,9,Ajay,57,119,0.1%,Independent,
10,10,Mohd Furqan,57,81,0.1%,Hind Congress Party,
11,11,Dal Chand,57,56,0.1%,Independent,
12,12,Ved Parkash,57,44,0.0%,Asankhya Samaj Party,
13,13,Mahender Pratap Singh Sikarwar,57,38,0.0%,Republican Party Of India (A),
