x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohd. Ishraque,405,"57,302",51.3%,Aam Aadmi Party,
2,2,Sanjay Jain,405,"29,415",26.3%,Bharatiya Janta Party,
3,3,Chaudhary Mateen Ahmad,267,"23,791",21.3%,Indian National Congress,
4,4,Sandeep Chodhary,63,629,0.6%,Bahujan Samaj Party,
5,5,Manoj Kumar,63,146,0.1%,Independent,
6,6,Sarfaraj,63,114,0.1%,Independent,
7,7,Akbar Malik,63,71,0.1%,Independent,
