x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohinder Goyal,885,"93,470",56.6%,Aam Aadmi Party,
2,2,Kulwant Rana,885,"64,219",38.9%,Bharatiya Janta Party,
3,3,Jagdish Yadav,67,"5,367",3.3%,Indian National Congress,
4,4,Pawan Kaushik,55,542,0.3%,Bahujan Samaj Party,
5,5,Anurag Mishra,55,266,0.2%,Rashtriya Bahujan Hitay Party,
6,6,Sumeet Kumar Sinha,55,156,0.1%,Samras Samaj Party,
7,7,Sunjeet,55,127,0.1%,Delhi Janta Party,
8,8,Virender Jha,55,126,0.1%,Proutist Bloc India,
9,9,Jitender Singh,55,88,0.1%,Asankhya Samaj Party,
