x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raju Dhingan,600,"74,907",58.6%,Aam Aadmi Party,
2,2,Kiran Vaidya,600,"45,153",35.3%,Bharatiya Janta Party,
3,3,Brahm Pal,200,"4,149",3.3%,Indian National Congress,
4,4,Dr.Girish,200,"2,217",1.7%,Bahujan Samaj Party,
5,5,Khubi Ram,200,380,0.3%,Communist Party Of India,
6,6,Padam Chand,200,271,0.2%,Bahujan Mukti Party,
7,7,Rakesh,200,134,0.1%,Gareeb Aadmi Party,
8,8,Mahinder Singh,200,100,0.1%,Samras Samaj Party,
