x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Akhilesh Pati Tripathi,1051,"54,628",52.4%,Aam Aadmi Party,
2,2,Vivek  Garg,1051,"37,922",36.4%,Bharatiya Janta Party,
3,3,Kanwar Karan Singh,107,"8,992",8.6%,Indian National Congress,
4,4,Gautam,59,"1,176",1.1%,Independent,
5,5,Jeetender,59,601,0.6%,Bahujan Samaj Party,
6,6,Vinod K. Jain,59,146,0.1%,Independent,
7,7,Sachin Jha,59,129,0.1%,Independent,
