x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Avtar Singh Kalkaji,800,"55,104",51.7%,Aam Aadmi Party,
2,2,Harmeet Singh Kalka,800,"35,335",33.2%,Bharatiya Janta Party,
3,3,Subhash Chopra,200,"13,552",12.7%,Indian National Congress,
4,4,Avtar Singh,200,666,0.6%,Independent,
5,5,Shashi Pratap,200,491,0.5%,Bahujan Samaj Party,
6,6,Sanjay Agarwal,200,301,0.3%,Independent,
7,7,R. Singh Choudhary,200,205,0.2%,Independent,
8,8,Dr. Anil Kumar,200,181,0.2%,Samras Samaj Party,
9,9,Gurdeep Singh,200,118,0.1%,Independent,
10,10,Dr. Kailash Shanker Trivedi,200,63,0.1%,Independent,
