x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jarnail Singh,756,"57,180",55.1%,Aam Aadmi Party,
2,2,Rajiv Babbar,756,"37,290",35.9%,Bharatiya Janta Party,
3,3,Duli Chand Lohia,91,"7,303",7.0%,Indian National Congress,
4,4,Jarnail Singh,58,570,0.6%,Independent,
5,5,Rajiv Babbar,58,253,0.2%,Rashtriya Aadiwasi Bahujan Party,
6,6,Vijay Bahadur,58,250,0.2%,Bahujan Samaj Party,
7,7,Pradeep Kumar Lohia,58,238,0.2%,Independent,
8,8,Vishal Sharma,58,80,0.1%,Independent,
9,9,Chattar Singh,58,68,0.1%,Shiv Sena,
10,10,Duli Chand,58,48,0.1%,Independent,
11,11,Babu Singh Dukhiya,58,37,0.0%,Hind Congress Party,
