x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rituraj Govind,400,"97,727",61.7%,Aam Aadmi Party,
2,2,Anil Jha,400,"52,555",33.2%,Bharatiya Janta Party,
3,3,Pratyush Kanth,200,"2,086",1.3%,Indian National Congress,
4,4,D.N. Bhagat Kushwaha,200,"2,021",1.3%,Bahujan Samaj Party,
5,5,Amresh Sharma,200,"1,499",1.0%,Deshbhakt Nirman Party,
6,6,Puspraj Singh,200,763,0.5%,Independent,
7,7,Banshidhar Mishra,200,339,0.2%,Hind Congress Party,
8,8,Rasat Garg,200,258,0.2%,Poorvanchal Rashtriya Congress,
9,9,Abinav Sanjay Prajapati,200,224,0.1%,Nationalist Congress Party,
10,10,Rajinder Kumar,200,173,0.1%,Shiv Sena,
