x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dinesh Mohaniya,200,"72,131",66.0%,Aam Aadmi Party,
2,2,Shiv Charan Lal Gupta,200,"28,143",25.7%,Bharatiya Janta Party,
3,3,Vishan Swaroop Aggarwal,200,"3,423",3.1%,Indian National Congress,
4,4,Shish Pal Singh,200,"3,146",2.9%,Bahujan Samaj Party,
5,5,Shahid,200,503,0.5%,Independent,
6,6,Dinesh Prasad Jaiswal,200,323,0.3%,Samras Samaj Party,
7,7,Sandeep Kumar,200,287,0.3%,Independent,
8,8,Sukhvir Singh,200,241,0.2%,Independent,
9,9,Pradeep Chand,200,179,0.2%,Sathi Aur Aapka Faisala Party,
10,10,Ramawati,200,146,0.1%,Independent,
11,11,Praween Prakash Bhardwaj,200,113,0.1%,Purvanchal Mahapanchayat,
12,12,Pradeep,200,90,0.1%,Hind Congress Party,
13,13,Nazukar Khan,200,70,0.1%,Independent,
14,14,Pradeep Kumar,200,60,0.1%,Rashtriya Bahujan Congress Party,
15,15,Ramaasare Yadav,200,36,0.0%,Naya Daur Party,
