x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Alka  Lamba,600,"36,756",49.4%,Aam Aadmi Party,
2,2,Suman Kumar Gupta,600,"18,469",24.8%,Bharatiya Janta Party,
3,3,Parlad Singh Sawhney,600,"17,930",24.1%,Indian National Congress,
4,4,Mohd. Rehan,200,217,0.3%,Bahujan Samaj Party,
5,5,Mohd. Naseem,200,212,0.3%,Nationalist Congress Party,
6,6,Ashok Kumar,200,117,0.2%,Akhil Bharat Hindu Mahasabha,
7,7,Tarun,200,111,0.2%,Independent,
8,8,Lakhan Singh,200,86,0.1%,Independent,
9,9,Adil Mirza,200,63,0.1%,Indian Union Muslim League,
10,10,Sandeep Sharma,200,57,0.1%,Independent,
11,11,Balram Bari,200,48,0.1%,Independent,
12,12,Parmeet Singh,200,25,0.0%,Independent,
13,13,Anil Anand,200,23,0.0%,Independent,
