x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Amanatullah Khan,200,"104,271",62.6%,Aam Aadmi Party,
2,2,Braham Singh,200,"39,739",23.8%,Bharatiya Janta Party,
3,3,Asif Mohd. Khan,200,"20,135",12.1%,Indian National Congress,
4,4,Anzarul Haque,200,853,0.5%,Indian National League,
5,5,Ashraf Kamal,200,696,0.4%,Bahujan Samaj Party,
6,6,Mohd. Aslam,200,153,0.1%,Independent,
7,7,Burhanuddin,200,102,0.1%,Independent,
8,8,Huma Kausar,200,98,0.1%,Independent,
9,9,Mohd. Nizamuddin,200,92,0.1%,Samras Samaj Party,
